user_id,ga_session_id,country,device,type,item_id,date
16563,15963,US,desktop,purchase,426,2020-11-01 06:17:40
16563,15963,US,desktop,purchase,427,2020-11-01 06:17:40
16563,15963,US,desktop,purchase,428,2020-11-01 06:17:40
16563,15963,US,desktop,purchase,173,2020-11-01 06:17:40
23766,16910,TR,desktop,purchase,173,2020-11-01 12:18:34
23766,16910,TR,desktop,purchase,275,2020-11-01 12:18:34
31027,17427,US,desktop,purchase,424,2020-11-01 20:46:35
20141,15965,US,desktop,purchase,430,2020-11-01 23:24:17
20141,15965,US,desktop,purchase,406,2020-11-01 23:24:17
20141,15965,US,desktop,purchase,295,2020-11-01 23:24:17
20141,15965,US,desktop,purchase,431,2020-11-01 23:24:17
22211,16084,US,desktop,purchase,81,2020-11-02 03:12:12
22211,16084,US,desktop,purchase,111,2020-11-02 03:12:12
22211,16084,US,desktop,purchase,81,2020-11-02 03:13:23
22211,16084,US,desktop,purchase,111,2020-11-02 03:13:23
6786,17497,US,mobile,purchase,139,2020-11-02 05:17:22
20451,10776,US,desktop,purchase,30,2020-11-02 08:38:22
20451,10776,US,desktop,purchase,15,2020-11-02 08:38:22
20451,10776,US,desktop,purchase,92,2020-11-02 08:38:22
20451,10776,US,desktop,purchase,76,2020-11-02 08:38:22
20451,10776,US,desktop,purchase,121,2020-11-02 08:38:22
20451,10776,US,desktop,purchase,167,2020-11-02 08:38:22
20451,10776,US,desktop,purchase,92,2020-11-02 08:47:21
20451,10776,US,desktop,purchase,19,2020-11-02 08:47:21
20451,10776,US,desktop,purchase,222,2020-11-02 08:47:21
20451,10776,US,desktop,purchase,121,2020-11-02 08:47:21
20451,10776,US,desktop,purchase,76,2020-11-02 08:47:21
20451,10776,US,desktop,purchase,167,2020-11-02 08:47:21
20451,9420,US,desktop,purchase,48,2020-11-02 09:29:56
20451,9420,US,desktop,purchase,558,2020-11-02 09:29:56
20451,9420,US,desktop,purchase,121,2020-11-02 09:29:56
20451,9420,US,desktop,purchase,183,2020-11-02 09:29:56
20451,9420,US,desktop,purchase,40,2020-11-02 09:29:56
20451,9420,US,desktop,purchase,167,2020-11-02 09:29:56
20451,9420,US,desktop,purchase,49,2020-11-02 09:29:56
20451,9420,US,desktop,purchase,411,2020-11-02 09:29:56
20451,9420,US,desktop,purchase,40,2020-11-02 09:46:54
20451,9420,US,desktop,purchase,164,2020-11-02 09:46:54
20451,9420,US,desktop,purchase,76,2020-11-02 09:46:54
20451,9420,US,desktop,purchase,167,2020-11-02 09:46:54
21127,17002,IN,desktop,purchase,174,2020-11-02 09:52:58
21127,17002,IN,desktop,purchase,48,2020-11-02 09:52:58
20451,9420,US,desktop,purchase,558,2020-11-02 09:54:37
20451,9420,US,desktop,purchase,76,2020-11-02 09:54:37
20451,9420,US,desktop,purchase,40,2020-11-02 09:54:37
20451,9420,US,desktop,purchase,92,2020-11-02 09:54:37
20451,9420,US,desktop,purchase,167,2020-11-02 09:54:37
32043,15348,US,mobile,purchase,111,2020-11-02 10:44:41
32043,15348,US,mobile,purchase,55,2020-11-02 10:44:41
32043,15348,US,mobile,purchase,1,2020-11-02 10:44:41
32043,15348,US,mobile,purchase,63,2020-11-02 10:44:41
32043,15348,US,mobile,purchase,413,2020-11-02 10:44:41
32043,15348,US,mobile,purchase,135,2020-11-02 10:44:41
32043,15348,US,mobile,purchase,513,2020-11-02 10:44:41
16561,16999,IN,desktop,purchase,398,2020-11-02 11:26:49
16561,16999,IN,desktop,purchase,8,2020-11-02 11:26:49
15257,16485,IT,desktop,purchase,280,2020-11-02 11:53:34
15257,16485,IT,desktop,purchase,390,2020-11-02 11:53:34
15257,16485,IT,desktop,purchase,560,2020-11-02 11:53:34
31373,17004,US,mobile,purchase,43,2020-11-02 12:24:03
31373,17004,US,mobile,purchase,29,2020-11-02 12:24:03
8123,16086,US,desktop,purchase,111,2020-11-02 15:22:00
8123,16086,US,desktop,purchase,29,2020-11-02 15:22:00
8123,16086,US,desktop,purchase,400,2020-11-02 15:22:00
8123,16086,US,desktop,purchase,190,2020-11-02 15:22:00
19232,16998,US,mobile,purchase,410,2020-11-02 16:00:09
19232,16998,US,mobile,purchase,491,2020-11-02 16:00:09
11348,17000,US,desktop,purchase,425,2020-11-02 19:41:27
11348,17000,US,desktop,purchase,247,2020-11-02 19:41:27
28353,17496,GB,mobile,purchase,205,2020-11-02 20:46:02
9747,17494,US,desktop,purchase,758,2020-11-02 20:52:37
21142,16088,CA,desktop,purchase,495,2020-11-02 22:24:36
21142,16088,CA,desktop,purchase,165,2020-11-02 22:24:36
21142,16088,CA,desktop,purchase,148,2020-11-02 22:24:36
21142,16088,CA,desktop,purchase,185,2020-11-02 22:24:36
15530,16087,JP,desktop,purchase,295,2020-11-02 23:28:56
15530,16087,JP,desktop,purchase,230,2020-11-02 23:28:56
15530,16087,JP,desktop,purchase,244,2020-11-02 23:28:56
15530,16087,JP,desktop,purchase,55,2020-11-02 23:28:56
1694,16931,US,mobile,purchase,549,2020-11-03 00:12:35
1694,16931,US,mobile,purchase,24,2020-11-03 00:12:35
12039,16927,US,desktop,purchase,259,2020-11-03 02:18:54
12039,16927,US,desktop,purchase,528,2020-11-03 02:18:54
31368,17434,DE,mobile,purchase,12,2020-11-03 05:05:52
7495,17438,IN,mobile,purchase,48,2020-11-03 06:01:07
23767,15132,US,desktop,purchase,315,2020-11-03 06:48:23
23767,15132,US,desktop,purchase,379,2020-11-03 06:48:23
23767,15132,US,desktop,purchase,2,2020-11-03 06:48:23
23767,15132,US,desktop,purchase,240,2020-11-03 06:48:23
23767,15132,US,desktop,purchase,561,2020-11-03 06:48:23
23767,15132,US,desktop,purchase,256,2020-11-03 06:48:23
23767,15132,US,desktop,purchase,244,2020-11-03 06:48:23
23767,15132,US,desktop,purchase,148,2020-11-03 06:48:23
9745,15482,US,mobile,purchase,559,2020-11-03 07:56:06
9745,15482,US,mobile,purchase,47,2020-11-03 07:56:06
9745,15482,US,mobile,purchase,560,2020-11-03 07:56:06
9745,15482,US,mobile,purchase,491,2020-11-03 07:56:06
9745,15482,US,mobile,purchase,247,2020-11-03 07:56:06
9745,15482,US,mobile,purchase,280,2020-11-03 07:56:06
15266,15483,HK,mobile,purchase,191,2020-11-03 14:05:28
15266,15483,HK,mobile,purchase,163,2020-11-03 14:05:28
15266,15483,HK,mobile,purchase,62,2020-11-03 14:05:28
15266,15483,HK,mobile,purchase,77,2020-11-03 14:05:28
15266,15483,HK,mobile,purchase,86,2020-11-03 14:05:28
15266,15483,HK,mobile,purchase,49,2020-11-03 14:05:28
13342,15819,US,desktop,purchase,25,2020-11-03 14:59:13
13342,15819,US,desktop,purchase,111,2020-11-03 14:59:13
13342,15819,US,desktop,purchase,40,2020-11-03 14:59:13
13342,15819,US,desktop,purchase,29,2020-11-03 14:59:13
13342,15819,US,desktop,purchase,45,2020-11-03 14:59:13
15500,17433,US,desktop,purchase,361,2020-11-03 15:02:18
16576,17437,US,mobile,purchase,29,2020-11-03 16:03:04
13335,15987,US,desktop,purchase,555,2020-11-03 16:10:20
13335,15987,US,desktop,purchase,556,2020-11-03 16:10:20
13335,15987,US,desktop,purchase,557,2020-11-03 16:10:20
13335,15987,US,desktop,purchase,190,2020-11-03 16:10:20
29991,16933,US,desktop,purchase,165,2020-11-03 19:39:58
29991,16933,US,desktop,purchase,550,2020-11-03 19:39:58
27715,15468,SG,desktop,purchase,76,2020-11-04 00:35:54
27715,15468,SG,desktop,purchase,2,2020-11-04 00:35:54
27715,15468,SG,desktop,purchase,62,2020-11-04 00:35:54
27715,15468,SG,desktop,purchase,47,2020-11-04 00:35:54
27715,15468,SG,desktop,purchase,126,2020-11-04 00:35:54
27715,15468,SG,desktop,purchase,95,2020-11-04 00:35:54
30101,17417,IN,desktop,purchase,247,2020-11-04 04:45:07
20451,15812,US,desktop,purchase,92,2020-11-04 07:33:59
20451,15812,US,desktop,purchase,167,2020-11-04 07:33:59
20451,15812,US,desktop,purchase,30,2020-11-04 07:33:59
20451,15812,US,desktop,purchase,121,2020-11-04 07:33:59
20451,15812,US,desktop,purchase,413,2020-11-04 07:33:59
11946,16390,CA,mobile,purchase,304,2020-11-04 10:36:15
11946,16390,CA,mobile,purchase,306,2020-11-04 10:36:15
11946,16390,CA,mobile,purchase,292,2020-11-04 10:36:15
7268,15960,US,desktop,purchase,95,2020-11-04 12:10:06
7268,15960,US,desktop,purchase,185,2020-11-04 12:10:06
7268,15960,US,desktop,purchase,69,2020-11-04 12:10:06
7268,15960,US,desktop,purchase,167,2020-11-04 12:10:06
18012,15127,US,mobile,purchase,48,2020-11-04 23:28:18
18012,15127,US,mobile,purchase,186,2020-11-04 23:28:18
18012,15127,US,mobile,purchase,304,2020-11-04 23:28:18
18012,15127,US,mobile,purchase,306,2020-11-04 23:28:18
18012,15127,US,mobile,purchase,76,2020-11-04 23:28:18
